"school_dbn","mean_algebra2","mean_english","school_name","percent_of_teachers_with_3_or_more_years_of_experience","percent_of_students_chronically_absent","rigorous_instruction_percent_positive","supportive_environment_percent_positive","economic_need_index"
"12X478",54,75.29412079,"The Cinema School",0.591,0.405,0.73,0.71,0.844
"12X479",52.11111069,57.93616867,"Bronx Career and College Preparatory High School",0.682,0.569,0.76,0.69,0.909
"12X511",66.42857361,62.06716537,"Bronx Envision Academy",0.7,0.465,0.83,0.69,0.915
"12X521",61.79999924,65.56410217,"The Metropolitan Soundview High School",0.778,0.57,0.77,0.67,0.889
"12X550",55.18446732,54.63333511,"High School of World Cultures",0.5,0.461,0.76,0.74,0.98
"13K412",57,62.00729752,"Brooklyn Community Arts & Media High School (BCAM)",0.821,0.463,0.78,0.65,0.829
"13K419",66.49606323,69.94420624,"Science Skills Center High School for Science, Tec",0.73,0.169,0.79,0.63,0.754
"13K430",87.14276123,93.70912933,"Brooklyn Technical High School",0.888,0.094,0.83,0.77,0.533
"13K499",42.7142868,61.65151596,"ACORN Community High School",1,0.52,0.57,0.68,0.833
"13K595",72.46067047,88.6111145,"Bedford Academy High School",0.864,0.201,0.85,0.76,0.607
"13K670",65.11679077,72.45064545,"Benjamin Banneker Academy",0.844,0.436,0.82,0.7,0.677
"14K449",83.60126495,93,"Brooklyn Latin School, The",0.909,0.328,0.85,0.79,0.54
"14K474",51.78260803,54.72727203,"PROGRESS High School for Professional Careers",0.723,0.417,0.95,0.92,0.899
"14K477",57.36841965,66.91345978,"East Williamsburg Scholars Academy",0.963,0.657,0.73,0.72,0.891
"14K478",63.35293961,67.04878235,"The High School for Enterprise, Business and Techn",0.849,0.379,0.75,0.67,0.837
"14K561",69.09210205,73.14795685,"Williamsburg Preparatory School",0.932,0.304,0.8,0.77,0.772
"15K462",54.30188751,69.82278442,"John Jay School for Law",0.484,0.471,0.8,0.64,0.795
"15K519",49.48611069,65.96984863,"Cobble Hill School of American Studies",0.568,0.516,0.82,0.69,0.807
"15K592",61.32258224,59.45360947,"Khalil Gibran International Academy",0.56,0.462,0.82,0.73,0.862
"15K656",57.33720779,74.39044952,"Brooklyn High School of the Arts",0.683,0.329,0.8,0.71,0.661
"15K667",62.50248718,69.51634216,"Sunset Park High School",0.616,0.447,0.74,0.74,0.863
"15K684",78.17778015,90.08280182,"Millennium Brooklyn HS",0.823,0.121,0.89,0.85,0.414
"16K455",51.02941132,64,"Boys and Girls High School",0.688,0.484,0.82,0.67,0.85
"16K498",68.85713959,65.91176605,"Brooklyn High School for Law and Technology",0.595,0.455,0.73,0.66,0.829
"17K539",58.07692337,67.12844086,"High School for Service & Learning at Erasmus",0.609,0.44,0.76,0.63,0.814
